"Candidate","Party","Votes","State","Const"
"HARILAL RANCHHODBHAI CHAUHAN","Independent",1616,"Gujarat","Gujarat - Junagadh"
"SAIYED ALTAF HUSAIN ABDULLAH MIYAN","Independent",327,"Gujarat","Gujarat - Junagadh"
"SOLANKI HARIBHAI BOGHABHAI","Bahujan Mukti Party",576,"Gujarat","Gujarat - Junagadh"
"KADRI IBRAHIM SAIYED HUSEN","Samajwadi Party",1613,"Gujarat","Gujarat - Junagadh"
"GADHIYA SOYEB HUSHENBHAI","Independent",1612,"Gujarat","Gujarat - Junagadh"
"None of the Above","None of the Above",1611,"Gujarat","Gujarat - Junagadh"
"KACHHADIYA NARANBHAI BHIKHABHAI","Bharatiya Janata Party",1626,"Gujarat","Gujarat - Amreli"
"THUMMAR VIRJIBHAI KESHAVBHAI (VIRJIBHAI THUMMAR)","Indian National Congress",1623,"Gujarat","Gujarat - Amreli"
"SUKHADIYA NATHALAL VALLABHBHAI","Aam Aadmi Party",1619,"Gujarat","Gujarat - Amreli"
"CHAVADA MANUBHAI PARSHOTTMBHAI","Janata Dal  (United)",1618,"Gujarat","Gujarat - Amreli"
"RAMANI SURESHBHAI DHIRUBHAI","Independent",1617,"Gujarat","Gujarat - Amreli"
"VALODARA VRAJLAL JIVABHAI","Independent",1628,"Gujarat","Gujarat - Amreli"
"DAFADA RAMJIBHAI NANJIBHAI","Bahujan Samaj Party",1627,"Gujarat","Gujarat - Amreli"
"NATHABHAI DAYABHAI TOTA","Independent",1625,"Gujarat","Gujarat - Amreli"
"MEHULBHAI HIMATBHAI SUKHADIA","Independent",1624,"Gujarat","Gujarat - Amreli"
"USMANBHAI P. MAGHARA","Independent",1622,"Gujarat","Gujarat - Amreli"
"DHIMECHA NARESHBHAI NANJIBHAI","Independent",32,"Gujarat","Gujarat - Amreli"
"SANGANI VIJAYBHAI DINESHBHAI","Yuva Sarkar",1621,"Gujarat","Gujarat - Amreli"
"RATHOD JIVANBHAI R.","Republican Party of India (A)",1026,"Gujarat","Gujarat - Amreli"
"JADAV MUSTAKBHAI","Independent",958,"Gujarat","Gujarat - Amreli"
"None of the Above","None of the Above",1620,"Gujarat","Gujarat - Amreli"
"DR. BHARATIBEN DHIRUBHAI SHIYAL","Bharatiya Janata Party",1639,"Gujarat","Gujarat - Bhavnagar"
"RATHOD PRAVINBHAI JINABHAI","Indian National Congress",1635,"Gujarat","Gujarat - Bhavnagar"
"DR. KANUBHAI V. KALSARIA","Aam Aadmi Party",1638,"Gujarat","Gujarat - Bhavnagar"
"GITA CHETAN PAUNDA (ADVOCATE GITABA JADEJA)","Bahujan Samaj Party",1643,"Gujarat","Gujarat - Bhavnagar"
"VAGHELA NARENDRABHAI SHAVJIBHAI","Independent",1642,"Gujarat","Gujarat - Bhavnagar"
"VEGAD NATHABHAI (VEGADBHAI PRAGNACHAKSHU CANDIDATE)","Independent",1021,"Gujarat","Gujarat - Bhavnagar"
"BHAVES GHANSHYAMBHAI RAJYAGURU","Independent",1641,"Gujarat","Gujarat - Bhavnagar"
"RATHOD PRAVINSINH CHANDRASINH","Independent",1640,"Gujarat","Gujarat - Bhavnagar"
"KAGADA RAMESHBHAI PUNABHAI","Independent",1637,"Gujarat","Gujarat - Bhavnagar"
"RASIDKHAN HASANKHAN PATHAN","Independent",1636,"Gujarat","Gujarat - Bhavnagar"
"GOHIL PRAVINSINH DHIRUBHA","Independent",1634,"Gujarat","Gujarat - Bhavnagar"
"MARU MANHAR VALAJIBHAI","Independent",1633,"Gujarat","Gujarat - Bhavnagar"
"MEHTA YASHVANTRAY ODHAVJIBHAI","Independent",1632,"Gujarat","Gujarat - Bhavnagar"
"GOHEL BHARATBHAI BHIMABHAI","Independent",1631,"Gujarat","Gujarat - Bhavnagar"
"JAGADISHBHAI AMARABHAI VEGAD","Independent",1630,"Gujarat","Gujarat - Bhavnagar"
"KHADRANI ASIMBHAI PIRBHAI","Independent",1629,"Gujarat","Gujarat - Bhavnagar"
"None of the Above","None of the Above",1644,"Gujarat","Gujarat - Bhavnagar"
"DILIP PATEL","Bharatiya Janata Party",1657,"Gujarat","Gujarat - Anand"
"SOLANKI BHARATBHAI MADHAVSINH","Indian National Congress",1656,"Gujarat","Gujarat - Anand"
"VAHORA FIROJBHAI WALIMAHAMADBHAI (KASORWALA)","Independent",1658,"Gujarat","Gujarat - Anand"
"PURSOTTAMBHAI ALIAS KANUBHAI MATHURBHAI CHAUHAN","Bahujan Samaj Party",1197,"Gujarat","Gujarat - Anand"
"VAGHELA BHARAT P","Independent",1655,"Gujarat","Gujarat - Anand"
"GIRISHBHAI DAS (ADVOCATE)","Bahujan Mukti Party",1654,"Gujarat","Gujarat - Anand"
"RABARI HITESHKUMAR LALJIBHAI","Independent",1653,"Gujarat","Gujarat - Anand"
"RAVJIBHAI S PARMAR","Aam Aadmi Party",1652,"Gujarat","Gujarat - Anand"
"MAHIDA MAHENDRASINH SAHEBSINH","Samajwadi Party",1651,"Gujarat","Gujarat - Anand"
"PATEL DILIPBHAI MANILAL","Independent",1649,"Gujarat","Gujarat - Anand"
"PATEL JAYESHBHAI ARVINDBHAI","Independent",1648,"Gujarat","Gujarat - Anand"
"PARMAR AMARSINH DAHYABHAI","Independent",1647,"Gujarat","Gujarat - Anand"
"HITENDRASINH MOHANSINH PARMAR","Bharatiya National Janta Dal",1646,"Gujarat","Gujarat - Anand"
"PATEL NAINESHKUMAR UMEDBHAI","Independent",1645,"Gujarat","Gujarat - Anand"
"PADHIYAR VIKRAMSINH (VAKIL)","Rashtriya Samaj Paksha",1607,"Gujarat","Gujarat - Anand"
"None of the Above","None of the Above",1650,"Gujarat","Gujarat - Anand"
"CHAUHAN DEVUSINH JESINGBHAI (CHAUHAN DEVUSINH)","Bharatiya Janata Party",1665,"Gujarat","Gujarat - Kheda"
"DINSHA PATEL","Indian National Congress",1662,"Gujarat","Gujarat - Kheda"
"ROSHAN PRIYAVADAN SHAH","Independent",1667,"Gujarat","Gujarat - Kheda"
"PANDAV BHAILALBHAI KALUBHAI","Bahujan Samaj Party",1666,"Gujarat","Gujarat - Kheda"
"BADHIWALA LABHUBHAI JIVRAJBHAI","Aam Aadmi Party",1664,"Gujarat","Gujarat - Kheda"
"RATANSINH UDESINH CHAUHAN","Independent",1663,"Gujarat","Gujarat - Kheda"
"MALEK SABIRHUSEN ISMAELBHAI","Independent",420,"Gujarat","Gujarat - Kheda"
"CHAUHAN DEVUSING MOTISHING","Independent",1660,"Gujarat","Gujarat - Kheda"
"MALEK SADIK HUSHEN MAHAMMD HUSHEN","Independent",1659,"Gujarat","Gujarat - Kheda"
"ABDUL RAZAKKHAN PATHAN","Apna Desh Party",1573,"Gujarat","Gujarat - Kheda"
"MALEK YAKUBMIYA NABIMIYA","Independent",1670,"Gujarat","Gujarat - Kheda"
"RANVEER PRANAYRAJ GOVINDBHAI","Bahujan Mukti Party",557,"Gujarat","Gujarat - Kheda"
"KHRISTI ADWARD KHUSHALBHAI","Independent",1669,"Gujarat","Gujarat - Kheda"
"PARIKH VIRAL HASMUKHBHAI","Independent",1668,"Gujarat","Gujarat - Kheda"
"PATHAN AMANULLAKHA SITABKHA","Independent",117,"Gujarat","Gujarat - Kheda"
"None of the Above","None of the Above",1661,"Gujarat","Gujarat - Kheda"
"CHAUHAN PRABHATSINH PRATAPSINH","Bharatiya Janata Party",1681,"Gujarat","Gujarat - Panchmahal"
"RAMSINH PARMAR","Indian National Congress",1679,"Gujarat","Gujarat - Panchmahal"
"GIRI RAMCHANDRA VAIJNATH","Bahujan Samaj Party",1675,"Gujarat","Gujarat - Panchmahal"
"VANKAR MANILAL BHANABHAI","Independent",1672,"Gujarat","Gujarat - Panchmahal"
"MANSURI MUKHATYAR MOHAMMAD (PANTER M. LALA)","Independent",1671,"Gujarat","Gujarat - Panchmahal"
"PIYUSHKUMAR DILIPBHAI PARMAR","Aam Aadmi Party",1683,"Gujarat","Gujarat - Panchmahal"
"PATEL PANKAJBHAI RAVJIBHAI","Independent",1682,"Gujarat","Gujarat - Panchmahal"
"CHAVADA HARISHCHANDRASINH PRABHATSINH","Independent",1680,"Gujarat","Gujarat - Panchmahal"
"S. N. CHAVADA (CHAVADA VAKIL)","Independent",1677,"Gujarat","Gujarat - Panchmahal"
"SHAIKH KALIM ABDULLATIF","Samajwadi Party",1676,"Gujarat","Gujarat - Panchmahal"
"GORA SHOEB MOHMADHANIF","Independent",1674,"Gujarat","Gujarat - Panchmahal"
"SHAIKH MAJITMIYA JIVAMIYA","Janata Dal  (United)",1673,"Gujarat","Gujarat - Panchmahal"
"None of the Above","None of the Above",1678,"Gujarat","Gujarat - Panchmahal"
"JASVANTSINH SUMANBHAI BHABHOR","Bharatiya Janata Party",1693,"Gujarat","Gujarat - Dahod"
"TAVIYAD DR. PRABHABEN KISHORSINH","Indian National Congress",1686,"Gujarat","Gujarat - Dahod"
"KATARA SINGAJIBHAI JALJIBHAI","Communist Party of India  (Marxist)",1687,"Gujarat","Gujarat - Dahod"
"BHURA NAVALABHAI MANABHAI","Independent",1685,"Gujarat","Gujarat - Dahod"
"BAMANIYA JYOTISHKUMAR BAPUBHAI","Bahujan Samaj Party",1684,"Gujarat","Gujarat - Dahod"
"KUMARI INDUBEN NATHUBHAI SANGADA","Independent",1694,"Gujarat","Gujarat - Dahod"
"MEDA JAGDISHBHAI MANILAL","Bharatiya National Janta Dal",1692,"Gujarat","Gujarat - Dahod"
"K.C.MUNIA ADVOCATE","Aam Aadmi Party",1691,"Gujarat","Gujarat - Dahod"
"BHABHOR MAVJIBHAI TITUBHAI","Samajwadi Party",1690,"Gujarat","Gujarat - Dahod"
"RAMSINGBHAI NANJIBHAI KALARA","Janata Dal  (United)",1689,"Gujarat","Gujarat - Dahod"
"None of the Above","None of the Above",1688,"Gujarat","Gujarat - Dahod"
"NARENDRA MODI","Bharatiya Janata Party",1702,"Gujarat","Gujarat - Vadodara"
"MISTRI MADHUSUDAN DEVRAM","Indian National Congress",1701,"Gujarat","Gujarat - Vadodara"
"SUNIL DIGAMBAR KULKARNI","Aam Aadmi Party",1695,"Gujarat","Gujarat - Vadodara"
"ROHIT MADHUSUDAN MOHANBHAI","Bahujan Samaj Party",728,"Gujarat","Gujarat - Vadodara"
"TAPAN DASGUPTA","SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)",1700,"Gujarat","Gujarat - Vadodara"
"PATHAN SAHEBKHAN ASIFKHAN","Samajwadi Party",1699,"Gujarat","Gujarat - Vadodara"
"JADAV AMBALAL KANABHAI","Janata Dal  (United)",1697,"Gujarat","Gujarat - Vadodara"
"PATHAN MAHEMUDKHAN RAZAKKHAN","Apna Desh Party",1696,"Gujarat","Gujarat - Vadodara"
"None of the Above","None of the Above",1698,"Gujarat","Gujarat - Vadodara"
"RAMSINH RATHWA","Bharatiya Janata Party",1707,"Gujarat","Gujarat - Chhota Udaipur"
"NARANBHAI JEMALABHAI RATHVA","Indian National Congress",1706,"Gujarat","Gujarat - Chhota Udaipur"
"PROF. ARJUNBHAI VERSINGBHAI RATHVA","Aam Aadmi Party",1704,"Gujarat","Gujarat - Chhota Udaipur"
"VASAVA PRAFULBHAI DEVJIBHAI","Janata Dal  (United)",1703,"Gujarat","Gujarat - Chhota Udaipur"
"None of the Above","None of the Above",1705,"Gujarat","Gujarat - Chhota Udaipur"
"VASAVA MANSUKHBHAI DHANJIBHAI","Bharatiya Janata Party",1719,"Gujarat","Gujarat - Bharuch"
"PATEL JAYESHBHAI AMBALALBHAI (JAYESH KAKA)","Indian National Congress",1716,"Gujarat","Gujarat - Bharuch"
"ANILKUMAR CHHITUBHAI BHAGAT","Janata Dal  (United)",1718,"Gujarat","Gujarat - Bharuch"
"SINDHI MAYYUDEEN UMARBHAI","Independent",1721,"Gujarat","Gujarat - Bharuch"
"SUKHRAMSINGH","Bahujan Samaj Party",1720,"Gujarat","Gujarat - Bharuch"
"SHAILESHKUMAR MAGANBHAI PARMAR","Independent",311,"Gujarat","Gujarat - Bharuch"
"JAYENDRASINH RANA","Aam Aadmi Party",1717,"Gujarat","Gujarat - Bharuch"
"VIRSANGBHAI PARBATBHAI GOHIL","Independent",1715,"Gujarat","Gujarat - Bharuch"
"BHURA SHABBIRBHAI VALIBHAI","Independent",1714,"Gujarat","Gujarat - Bharuch"
"NITIN ISHWARLAL VAKIL (ADVOCATE)","Independent",1713,"Gujarat","Gujarat - Bharuch"
"RAFIKBHAI SULEMAN SAPA","Independent",1712,"Gujarat","Gujarat - Bharuch"
"ANANDKUMAR SARVARSINH VASAVA","Independent",1710,"Gujarat","Gujarat - Bharuch"
"SAIYAD MOHSIN BAPU NANUMIYAWALA","Bahujan Mukti Party",1709,"Gujarat","Gujarat - Bharuch"
"SAYYED ASIF ZAFAR ALI","Apna Desh Party",1708,"Gujarat","Gujarat - Bharuch"
"None of the Above","None of the Above",1711,"Gujarat","Gujarat - Bharuch"
"VASAVA PARBHUBHAI NAGARBHAI","Bharatiya Janata Party",1730,"Gujarat","Gujarat - Bardoli"
"CHAUDHARI TUSHARBHAI AMARSINHBHAI","Indian National Congress",1727,"Gujarat","Gujarat - Bardoli"
"CHAUDHARI REVABEN SHANKARBHAI","Communist Party of India",1724,"Gujarat","Gujarat - Bardoli"
"GAMIT MOVALIYABHAI NOPARIYABHAI","Bahujan Samaj Party",1723,"Gujarat","Gujarat - Bardoli"
"CHAUDHARI CHANDUBHAI MACHALABHAI","Aam Aadmi Party",1722,"Gujarat","Gujarat - Bardoli"
"RATHOD RAMESHBHAI BHIKHABHAI","Independent",1732,"Gujarat","Gujarat - Bardoli"
"JAGATSINH LALJIBHAI VASAVA","Janata Dal  (United)",1731,"Gujarat","Gujarat - Bardoli"
"GAMIT SURENDRABHAI SIMABHAI","Independent",1729,"Gujarat","Gujarat - Bardoli"
"BHAILALBHAI CHHANABHAI RATHOD","Aadivasi Sena Party",1728,"Gujarat","Gujarat - Bardoli"
"CHAUDHARI RENIYABHAI SHANKARBHAI","Hindusthan Nirman Dal",1726,"Gujarat","Gujarat - Bardoli"
"None of the Above","None of the Above",1725,"Gujarat","Gujarat - Bardoli"
"DARSHANA VIKRAM JARDOSH","Bharatiya Janata Party",1740,"Gujarat","Gujarat - Surat"
"DESAI NAISHADHBHAI BHUPATBHAI","Indian National Congress",1736,"Gujarat","Gujarat - Surat"
"MOHANBHAI B. PATEL","Aam Aadmi Party",1737,"Gujarat","Gujarat - Surat"
"OMPRAKASH SHRIVASTAV","Bahujan Samaj Party",1262,"Gujarat","Gujarat - Surat"
"MUKESHBHAI LAVJIBHAI AMBALIYA","Independent",1739,"Gujarat","Gujarat - Surat"
"KIRITBHAI HARJIBHAI VASANI","Yuva Sarkar",1738,"Gujarat","Gujarat - Surat"
"MAVJIBHAI LAXMANBHAI SANDIS","Independent",1735,"Gujarat","Gujarat - Surat"
"VASAVA KISHORBHAI CHHOTUBHAI","Janata Dal  (United)",1734,"Gujarat","Gujarat - Surat"
"None of the Above","None of the Above",1733,"Gujarat","Gujarat - Surat"
"C. R. PATIL","Bharatiya Janata Party",1757,"Gujarat","Gujarat - Navsari"
"MAKSUD MIRZA","Indian National Congress",1749,"Gujarat","Gujarat - Navsari"
"MEHUL PATEL","Aam Aadmi Party",1745,"Gujarat","Gujarat - Navsari"
"CHAUHAN KESAVBHAI MALABHAI (MASTER)","Bahujan Samaj Party",1743,"Gujarat","Gujarat - Navsari"
"LATABEN ASHOKKUMAR DWIVEDI","Independent",1756,"Gujarat","Gujarat - Navsari"
"SAIYED MEHMUD AHMED","Independent",1755,"Gujarat","Gujarat - Navsari"
"ROHIT GANDHI","Independent",1754,"Gujarat","Gujarat - Navsari"
"ASLAM MISTRY","Bharatiya Bahujan Congress",1753,"Gujarat","Gujarat - Navsari"
"HASAN SHAIKH","Independent",1752,"Gujarat","Gujarat - Navsari"
"RAVSHAHEB BHIMRAV PATIL (BANDHU)","Independent",1751,"Gujarat","Gujarat - Navsari"
"VIMAL PATEL (ENDHAL)","Independent",1750,"Gujarat","Gujarat - Navsari"
"PERCY MUNSHI","Independent",1748,"Gujarat","Gujarat - Navsari"
"WARDE RAJUBHAI BHIMRAO","Bahujan Mukti Party",1747,"Gujarat","Gujarat - Navsari"
"RAMJAN MANSURI(JOURNALIST)","Independent",1746,"Gujarat","Gujarat - Navsari"
"PATEL BHUPENDRAKUMAR DHIRUBHAI","Janata Dal  (United)",1744,"Gujarat","Gujarat - Navsari"
"SONAL KELLOGG","Voters Party",1742,"Gujarat","Gujarat - Navsari"
"KESHAVJI L. SARADVA","Independent",257,"Gujarat","Gujarat - Navsari"
"ARUN S. PATHAK(JOURNALIST)","Independent",1741,"Gujarat","Gujarat - Navsari"
"PYARELAL BHARTI","Hindusthan Nirman Dal",1758,"Gujarat","Gujarat - Navsari"
"None of the Above","None of the Above",1759,"Gujarat","Gujarat - Navsari"
"DR. K.C.PATEL","Bharatiya Janata Party",1767,"Gujarat","Gujarat - Valsad"
"KISHANBHAI  VESTABHAI PATEL","Indian National Congress",1765,"Gujarat","Gujarat - Valsad"
"THAKRIYA RATILAL VAJIRBHAI","Bahujan Samaj Party",1762,"Gujarat","Gujarat - Valsad"
"PATEL BUDHABHAI RANCHHODBHAI","Independent",1761,"Gujarat","Gujarat - Valsad"
"GAURANGBHAI RAMESHBHAI PATEL","Hindustan Janta Party",1760,"Gujarat","Gujarat - Valsad"
"VADIA LAXMANBHAI CHHAGANBHAI","Communist Party of India  (Marxist-Leninist)  (Liberation)",1768,"Gujarat","Gujarat - Valsad"
"PATEL GOVINDBHAI RANCHHODBHAI","Aam Aadmi Party",304,"Gujarat","Gujarat - Valsad"
"DR.PANKAJKUMAR PARBHUBHAI PATEL","Aadivasi Sena Party",1766,"Gujarat","Gujarat - Valsad"
"PATEL SHAILESHBHAI GANDABHAI","Janata Dal  (United)",1764,"Gujarat","Gujarat - Valsad"
"TALAVIYA BABUBHAI CHHAGANBHAI","Bahujan Mukti Party",489,"Gujarat","Gujarat - Valsad"
"None of the Above","None of the Above",1763,"Gujarat","Gujarat - Valsad"
"RATTAN LAL KATARIA","Bharatiya Janata Party",1779,"Haryana","Haryana - Ambala"
"RAJ KUMAR BALMIKI","Indian National Congress",1775,"Haryana","Haryana - Ambala"
"DR. KUSUM SHERWAL","Indian National Lok Dal",1772,"Haryana","Haryana - Ambala"
"DR. KAPOOR SINGH","Bahujan Samaj Party",1769,"Haryana","Haryana - Ambala"
"SURINDER PAL SINGH","Aam Aadmi Party",1780,"Haryana","Haryana - Ambala"
"ARUN KUMAR","Communist Party of India",1770,"Haryana","Haryana - Ambala"
"BHUPINDER KUMAR","Independent",1778,"Haryana","Haryana - Ambala"
"RAJENDER KUMAR BHATAULI","Bhartiya Shakti Chetna Party",1777,"Haryana","Haryana - Ambala"
"BHURA RAM","Independent",307,"Haryana","Haryana - Ambala"
"PHOOL CHAND RATTUWALA","Independent",1776,"Haryana","Haryana - Ambala"
"RAMESH CHAND","Independent",1774,"Haryana","Haryana - Ambala"
"ISHWAR SINGH","Independent",1773,"Haryana","Haryana - Ambala"
"RAM JAWARI","Rashtriya Karmyog Party",1771,"Haryana","Haryana - Ambala"
"GURNAM SINGH","Independent",585,"Haryana","Haryana - Ambala"
"None of the Above","None of the Above",1781,"Haryana","Haryana - Ambala"
"RAJ KUMAR SAINI","Bharatiya Janata Party",1796,"Haryana","Haryana - Kurukshetra"
"BALBIR SINGH SAINI","Indian National Lok Dal",1793,"Haryana","Haryana - Kurukshetra"
"NAVEEN JINDAL","Indian National Congress",1792,"Haryana","Haryana - Kurukshetra"
"CHATTAR SINGH","Bahujan Samaj Party",1798,"Haryana","Haryana - Kurukshetra"
"BALWINDER KAUR","Aam Aadmi Party",1794,"Haryana","Haryana - Kurukshetra"
"RAJ KUMAR SAINI","Independent",1797,"Haryana","Haryana - Kurukshetra"
"JASVINDER JASHT BHUKHRI","Independent",1795,"Haryana","Haryana - Kurukshetra"
"ASHWANI MALHOTRA","All India Trinamool Congress",1205,"Haryana","Haryana - Kurukshetra"
"CHUNI MANOJ KUMAR","Independent",1791,"Haryana","Haryana - Kurukshetra"
"RANBIR SINGH SHARMA","Independent",1790,"Haryana","Haryana - Kurukshetra"
"RAMESHWAR KUMAR SAINI","Bhartiya Shakti Chetna Party",466,"Haryana","Haryana - Kurukshetra"
"VISHNU BHAGWAN AGGARWAL","Independent",1789,"Haryana","Haryana - Kurukshetra"
"DAVINDER KUMAR","Independent",1788,"Haryana","Haryana - Kurukshetra"
"MASTER DHARAMPAL DHIMAN BRAHAMAN","Independent",1787,"Haryana","Haryana - Kurukshetra"
"KULDEEP SINGH MALLHI","Republican Party of India",1786,"Haryana","Haryana - Kurukshetra"
"RAM KISHAN","Lok Parivartan Party(DC)",1785,"Haryana","Haryana - Kurukshetra"
"ANIL KUMAR","Independent",153,"Haryana","Haryana - Kurukshetra"
"KANTA ALLARIA","Indian Bahujan Sandesh Party (Kanshiram)",1784,"Haryana","Haryana - Kurukshetra"
"ONKAR SINGH","National Janhit Congress (AB)",1783,"Haryana","Haryana - Kurukshetra"
"GURMEET SINGH","Lok Dal",1782,"Haryana","Haryana - Kurukshetra"
"KIRAN PAL","Bharatiya Inqalab Party",1799,"Haryana","Haryana - Kurukshetra"
"CA. SATISH SINGAL","Independent",596,"Haryana","Haryana - Kurukshetra"
"None of the Above","None of the Above",1144,"Haryana","Haryana - Kurukshetra"
"CHARANJEET SINGH RORI","Indian National Lok Dal",1813,"Haryana","Haryana - Sirsa"
"ASHOK TANWAR","Indian National Congress",1810,"Haryana","Haryana - Sirsa"
"DR. SUSHIL INDORA","Haryana Janhit Congress (BL)",1808,"Haryana","Haryana - Sirsa"
"POONAM CHAND RATTI","Aam Aadmi Party",1815,"Haryana","Haryana - Sirsa"
"MANGERAM","Bahujan Samaj Party",1804,"Haryana","Haryana - Sirsa"
"COMRADE RAM KUMAR","Communist Party of India  (Marxist)",1800,"Haryana","Haryana - Sirsa"
"RANVIR KHOBRA","Independent",1816,"Haryana","Haryana - Sirsa"
"RAJBIR PALNA","Independent",1814,"Haryana","Haryana - Sirsa"
"RAJ KUMAR NAGAR","Samajwadi Party",1812,"Haryana","Haryana - Sirsa"
"MEWA SINGH","Independent",1811,"Haryana","Haryana - Sirsa"
"SURENDER KUMAR (URF) MENPAL PHOOLA","Independent",1777,"Haryana","Haryana - Sirsa"
"HANSRAJ HANSA","Jan Morcha",1809,"Haryana","Haryana - Sirsa"
"SANJIV BHOJRAJ","VANCHITSAMAJ INSAAF PARTY",1807,"Haryana","Haryana - Sirsa"
"BALWANT SINGH","Bharatiya Sant Mat Party",1806,"Haryana","Haryana - Sirsa"
"JAGDISH","Independent",1805,"Haryana","Haryana - Sirsa"
"JAIPAL BHATTI","Independent",1803,"Haryana","Haryana - Sirsa"
"MANJEET SINGH","Independent",1802,"Haryana","Haryana - Sirsa"
"FAKIR CHAND","Independent",1801,"Haryana","Haryana - Sirsa"
"None of the Above","None of the Above",190,"Haryana","Haryana - Sirsa"
"DUSHYANT CHAUTALA","Indian National Lok Dal",1849,"Haryana","Haryana - Hisar"
"KULDEEP BISHNOI","Haryana Janhit Congress (BL)",1847,"Haryana","Haryana - Hisar"
"SAMPAT SINGH","Indian National Congress",1817,"Haryana","Haryana - Hisar"
"MANGE RAM","Bahujan Samaj Party",1838,"Haryana","Haryana - Hisar"
"DR. YUDHBIR SINGH KHYALIA","Aam Aadmi Party",1836,"Haryana","Haryana - Hisar"
"PHUL SINGH","Communist Party of India  (Marxist)",1853,"Haryana","Haryana - Hisar"
"KULDEEP S/O NARAIN SINGH","Independent",1850,"Haryana","Haryana - Hisar"
"KULDEEP S/O PARDUMN","Independent",1834,"Haryana","Haryana - Hisar"
"KULDEEP S/O KARAN SINGH","Independent",1828,"Haryana","Haryana - Hisar"
"VIJAY KUMAR SHARMA","Independent",1827,"Haryana","Haryana - Hisar"
"DR. RAJESH MAHENDIA","Independent",1825,"Haryana","Haryana - Hisar"
"OM PARKASH","Bharatiya Sant Mat Party",1824,"Haryana","Haryana - Hisar"
"KULDEEP S/O ISHWAR SINGH","Independent",1821,"Haryana","Haryana - Hisar"
"MAMTA RANI","Rashtrawadi Parivartan Party (L.B,)",1820,"Haryana","Haryana - Hisar"
"KARTAR SINGH","Independent",1819,"Haryana","Haryana - Hisar"
"VISHNU KUMAR","Independent",1818,"Haryana","Haryana - Hisar"
"KULDEEP S/O MADAN LAL","Independent",151,"Haryana","Haryana - Hisar"
"KULDEEP SINGH S/O SHISHPAL","Bahujan Mukti Party",1855,"Haryana","Haryana - Hisar"
"SUSHIL KAUSHIK","Independent",1854,"Haryana","Haryana - Hisar"
"VIKAS","Independent",1512,"Haryana","Haryana - Hisar"
"RAJ SINGH","Independent",1852,"Haryana","Haryana - Hisar"
"NARESH BATRA","Independent",1851,"Haryana","Haryana - Hisar"
"RAM PHAL","Independent",1848,"Haryana","Haryana - Hisar"
"SHIV KUMAR","Independent",1846,"Haryana","Haryana - Hisar"
"NARENDER","Independent",1845,"Haryana","Haryana - Hisar"
"KULDEEP S/O SAJJAN","Independent",1844,"Haryana","Haryana - Hisar"
"NARINDER KUMAR","Independent",1843,"Haryana","Haryana - Hisar"
"SHRAVAN KUMAR ASIJA","Independent",1842,"Haryana","Haryana - Hisar"
"SATBIR","Independent",1841,"Haryana","Haryana - Hisar"
"UMED SINGH","Independent",1840,"Haryana","Haryana - Hisar"
"ARUN KUMAR","Independent",1839,"Haryana","Haryana - Hisar"
"ATAM PARKASH","Independent",1837,"Haryana","Haryana - Hisar"
"SUSHIL NIDHI","Independent",1835,"Haryana","Haryana - Hisar"
"RAJ KUMAR","Independent",1833,"Haryana","Haryana - Hisar"
"HANSRAJ","Independent",1832,"Haryana","Haryana - Hisar"
"BALWAN SINGH","Independent",1831,"Haryana","Haryana - Hisar"
"BALJEET","Independent",1830,"Haryana","Haryana - Hisar"
"YUDHVIR","Independent",1829,"Haryana","Haryana - Hisar"
"RAKESH KUMAR (RINKU BHAI)","Independent",1826,"Haryana","Haryana - Hisar"
"SUNDER","Independent",1823,"Haryana","Haryana - Hisar"
"SITA RAM","Independent",1822,"Haryana","Haryana - Hisar"
"None of the Above","None of the Above",602,"Haryana","Haryana - Hisar"
"ASHWINI KUMAR","Bharatiya Janata Party",1869,"Haryana","Haryana - Karnal"
"ARVIND KUMAR SHARMA","Indian National Congress",1864,"Haryana","Haryana - Karnal"
"JASWINDER SINGH SANDHU","Indian National Lok Dal",1863,"Haryana","Haryana - Karnal"
"MARATHA VIRENDER VERMA","Bahujan Samaj Party",1856,"Haryana","Haryana - Karnal"
"PARAMJIT SINGH","Aam Aadmi Party",1867,"Haryana","Haryana - Karnal"
"MAM CHAND","Communist Party of India",1857,"Haryana","Haryana - Karnal"
"JAGDISH","Independent",1868,"Haryana","Haryana - Karnal"
"JAGBIR SINGH RANA","Independent",1866,"Haryana","Haryana - Karnal"
"MAHMOOD HASSAN","Independent",682,"Haryana","Haryana - Karnal"
"PALE RAM KASHYAP","Rashtriya Janshakti Party(Eklavya)",1865,"Haryana","Haryana - Karnal"
"RAJESH KUMAR","Independent",705,"Haryana","Haryana - Karnal"
"KISMAT SHARMA","Independent",1862,"Haryana","Haryana - Karnal"
"SHASHI SAINI","Independent",1861,"Haryana","Haryana - Karnal"
"SAVITRI","Independent",1860,"Haryana","Haryana - Karnal"
"ASHISH","All India Forward Bloc",1859,"Haryana","Haryana - Karnal"
"MAHINDER PAL","Independent",1858,"Haryana","Haryana - Karnal"
"ARVIND TIWARI","Independent",1646,"Haryana","Haryana - Karnal"
